University,NCAA Division,Conference,Has Football,Has Basketball,Has Baseball,Has Soccer,Has Swimming,Has Track,Total Varsity Sports,Athletic Ranking
Ohio State University,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,36,5
University of Michigan,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,29,8
Purdue University,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,18,35
University of Illinois Urbana-Champaign,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,21,28
Georgia Institute of Technology,I,ACC,Yes,Yes,Yes,Yes,Yes,Yes,17,40
University of Texas at Austin,I,SEC,Yes,Yes,Yes,Yes,Yes,Yes,20,12
University of Wisconsin-Madison,I,Big Ten,Yes,Yes,No,Yes,Yes,Yes,23,15
Penn State University,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,31,10
Virginia Tech,I,ACC,Yes,Yes,Yes,Yes,Yes,Yes,22,32
University of Florida,I,SEC,Yes,Yes,Yes,Yes,Yes,Yes,21,3
University of Washington,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,22,25
Carnegie Mellon University,III,UAA,Yes,Yes,No,Yes,Yes,Yes,19,180
Massachusetts Institute of Technology,III,NEWMAC,No,Yes,No,Yes,Yes,Yes,33,150
Stanford University,I,ACC,Yes,Yes,Yes,Yes,Yes,Yes,36,1
Rice University,I,AAC,Yes,Yes,Yes,Yes,Yes,Yes,16,55
Northwestern University,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,19,42
University of Southern California,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,21,6
Case Western Reserve University,III,UAA,Yes,Yes,Yes,Yes,Yes,Yes,19,165
Rensselaer Polytechnic Institute,III,Liberty League,No,Yes,No,Yes,Yes,Yes,23,170
Rochester Institute of Technology,III,Liberty League,No,Yes,No,Yes,Yes,Yes,24,160
Drexel University,I,CAA,No,Yes,No,Yes,Yes,Yes,18,85
Stevens Institute of Technology,III,MAC,No,Yes,Yes,Yes,Yes,Yes,26,175
Worcester Polytechnic Institute,III,NEWMAC,Yes,Yes,Yes,Yes,Yes,Yes,22,155
Illinois Institute of Technology,NAIA,CCAC,No,Yes,No,Yes,No,Yes,12,200
University of Minnesota,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,25,18
Iowa State University,I,Big 12,Yes,Yes,No,Yes,Yes,Yes,16,48
Michigan State University,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,25,22
University of Maryland,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,27,20
North Carolina State University,I,ACC,Yes,Yes,Yes,Yes,Yes,Yes,23,30
Colorado School of Mines,II,RMAC,Yes,Yes,No,Yes,Yes,Yes,17,120
University of Colorado Boulder,I,Big 12,Yes,Yes,No,Yes,Yes,Yes,17,38
Arizona State University,I,Big 12,Yes,Yes,Yes,Yes,Yes,Yes,26,14
University of Pittsburgh,I,ACC,Yes,Yes,Yes,Yes,Yes,Yes,19,35
Clemson University,I,ACC,Yes,Yes,Yes,Yes,Yes,Yes,19,16
Texas A&M University,I,SEC,Yes,Yes,Yes,Yes,Yes,Yes,20,11
University of Virginia,I,ACC,Yes,Yes,Yes,Yes,Yes,Yes,27,9
Indiana University Bloomington,I,Big Ten,Yes,Yes,Yes,Yes,Yes,Yes,24,20
Northeastern University,I,CAA,No,Yes,No,Yes,Yes,Yes,18,90
Boston University,I,Patriot League,No,Yes,No,Yes,Yes,Yes,24,65
Lehigh University,I,Patriot League,Yes,Yes,Yes,Yes,Yes,Yes,25,70
