City,State,Rent Index,Grocery Index,Restaurant Index,Overall Index,Median Rent 1BR
Columbus,Ohio,65.2,92.1,88.5,78.3,950
Ann Arbor,Michigan,78.4,96.3,92.1,85.6,1250
West Lafayette,Indiana,52.1,88.7,82.3,68.4,700
Champaign,Illinois,55.8,90.2,84.1,71.0,750
Atlanta,Georgia,82.6,95.8,91.7,88.2,1400
Austin,Texas,88.3,97.2,94.6,92.0,1500
Madison,Wisconsin,72.5,93.4,89.8,82.1,1100
State College,Pennsylvania,58.9,89.5,83.7,72.8,800
Blacksburg,Virginia,48.3,87.1,79.8,64.2,650
Gainesville,Florida,56.2,89.8,84.2,71.5,780
Seattle,Washington,110.5,104.2,102.8,108.3,1900
Pittsburgh,Pennsylvania,62.8,91.3,87.2,76.1,900
Cambridge,Massachusetts,125.3,108.5,106.2,118.7,2400
Stanford,California,135.2,112.3,108.9,125.4,2600
Houston,Texas,72.1,92.8,88.4,81.2,1050
Evanston,Illinois,98.5,101.2,98.7,100.1,1600
Los Angeles,California,118.7,107.8,104.5,115.2,2100
Cleveland,Ohio,55.4,88.9,83.5,70.3,720
Troy,New York,54.2,89.1,82.8,69.5,700
Rochester,New York,58.1,90.3,84.5,72.4,780
Philadelphia,Pennsylvania,85.3,96.1,92.5,89.2,1350
Hoboken,New Jersey,120.1,106.5,103.8,113.5,2200
Worcester,Massachusetts,78.2,95.8,91.5,85.1,1200
Chicago,Illinois,95.8,100.5,97.2,98.5,1550
Minneapolis,Minnesota,75.6,94.1,90.2,83.7,1150
Ames,Iowa,48.5,87.3,80.1,65.2,620
East Lansing,Michigan,55.1,89.2,83.1,70.1,750
College Park,Maryland,88.7,97.5,94.2,92.5,1400
Raleigh,North Carolina,72.3,93.2,89.5,81.8,1100
Golden,Colorado,82.4,96.5,92.1,88.3,1350
Boulder,Colorado,98.2,101.8,98.5,100.2,1650
Tempe,Arizona,76.8,94.5,90.8,84.2,1200
Clemson,South Carolina,45.2,86.5,78.9,62.1,600
College Station,Texas,52.8,88.2,82.5,68.3,700
Charlottesville,Virginia,72.1,93.8,89.2,82.5,1100
Bloomington,Indiana,54.8,88.5,82.8,69.7,720
Boston,Massachusetts,120.3,107.2,104.8,114.5,2300
Bethlehem,Pennsylvania,62.5,90.8,86.5,75.8,880
