timestamp,src_ip,query_domain,query_type,response_code
2025-03-01T00:00:28Z,10.0.1.7,api.github.com,A,NOERROR
2025-03-01T00:00:30Z,10.0.1.13,api.github.com,A,NOERROR
2025-03-01T00:02:56Z,10.0.1.15,npmjs.org,A,NOERROR
2025-03-01T00:08:08Z,10.0.1.7,api.github.com,A,NOERROR
2025-03-01T00:08:19Z,10.0.1.13,npmjs.org,A,NOERROR
2025-03-01T00:08:39Z,10.0.1.2,api.stripe.com,A,NOERROR
2025-03-01T00:10:10Z,10.0.1.2,api.stripe.com,A,NOERROR
2025-03-01T00:10:44Z,10.0.1.10,docs.python.org,A,NOERROR
2025-03-01T00:10:48Z,10.0.1.8,cdn.cloudflare.com,A,NOERROR
2025-03-01T00:11:28Z,10.0.1.6,zoom.us,A,NOERROR
2025-03-01T00:12:00Z,10.0.1.8,update.windows.com,A,NOERROR
2025-03-01T00:15:31Z,10.0.1.12,api.github.com,A,NOERROR
2025-03-01T00:15:52Z,10.0.1.4,update.windows.com,A,NOERROR
2025-03-01T00:17:08Z,10.0.1.5,npmjs.org,A,NOERROR
2025-03-01T00:17:14Z,10.0.1.10,mail.microsoft.com,A,NOERROR
2025-03-01T00:20:39Z,10.0.1.6,www.google.com,A,NOERROR
2025-03-01T00:24:50Z,10.0.1.5,docs.python.org,A,NOERROR
2025-03-01T00:31:38Z,10.0.1.1,icloud.com,A,NOERROR
2025-03-01T00:35:17Z,10.0.1.6,mail.microsoft.com,A,NOERROR
2025-03-01T00:36:41Z,10.0.1.10,pypi.org,A,NOERROR
2025-03-01T00:37:43Z,10.0.1.12,docs.python.org,A,NOERROR
2025-03-01T00:39:20Z,10.0.1.3,cdn.cloudflare.com,A,NOERROR
2025-03-01T00:40:09Z,10.0.1.1,fonts.googleapis.com,A,NOERROR
2025-03-01T00:42:43Z,10.0.1.12,slack.com,A,NOERROR
2025-03-01T00:45:57Z,10.0.1.8,slack.com,A,NOERROR
2025-03-01T00:46:06Z,10.0.1.11,office365.com,A,NOERROR
2025-03-01T00:48:26Z,10.0.1.7,mail.microsoft.com,A,NOERROR
2025-03-01T00:51:38Z,10.0.1.2,office365.com,A,NOERROR
2025-03-01T00:53:41Z,10.0.1.5,api.stripe.com,A,NOERROR
2025-03-01T00:55:28Z,10.0.1.14,api.github.com,A,NOERROR
2025-03-01T00:57:52Z,10.0.1.9,cdn.cloudflare.com,A,NOERROR
2025-03-01T00:59:27Z,10.0.1.3,zoom.us,A,NOERROR
2025-03-01T01:00:08Z,10.0.1.11,www.google.com,A,NOERROR
2025-03-01T01:02:14Z,10.0.1.1,npmjs.org,A,NOERROR
2025-03-01T01:06:49Z,10.0.1.9,pypi.org,A,NOERROR
2025-03-01T01:07:56Z,10.0.1.3,api.github.com,A,NOERROR
2025-03-01T01:11:56Z,10.0.1.1,cdn.cloudflare.com,A,NOERROR
2025-03-01T01:12:05Z,10.0.1.1,api.github.com,A,NOERROR
2025-03-01T01:20:06Z,10.0.1.6,icloud.com,A,NOERROR
2025-03-01T01:21:29Z,10.0.1.3,icloud.com,A,NOERROR
2025-03-01T01:22:36Z,10.0.1.11,mail.microsoft.com,A,NOERROR
2025-03-01T01:26:03Z,10.0.1.12,icloud.com,A,NOERROR
2025-03-01T01:27:14Z,10.0.1.10,slack.com,A,NOERROR
2025-03-01T01:29:11Z,10.0.1.7,pypi.org,A,NOERROR
2025-03-01T01:29:41Z,10.0.1.13,api.stripe.com,A,NOERROR
2025-03-01T01:33:17Z,10.0.1.15,mail.microsoft.com,A,NOERROR
2025-03-01T01:34:23Z,10.0.1.7,api.stripe.com,A,NOERROR
2025-03-01T01:35:48Z,10.0.1.5,fonts.googleapis.com,A,NOERROR
2025-03-01T01:43:04Z,10.0.1.4,pypi.org,A,NOERROR
2025-03-01T01:43:33Z,10.0.1.13,pypi.org,A,NOERROR
2025-03-01T01:44:22Z,10.0.1.8,mail.microsoft.com,A,NOERROR
2025-03-01T01:46:22Z,10.0.1.14,api.stripe.com,A,NOERROR
2025-03-01T01:49:09Z,10.0.1.15,pypi.org,A,NOERROR
2025-03-01T01:49:55Z,10.0.1.13,office365.com,A,NOERROR
2025-03-01T01:50:37Z,10.0.1.8,www.google.com,A,NOERROR
2025-03-01T01:51:24Z,10.0.1.9,docs.python.org,A,NOERROR
2025-03-01T01:52:20Z,10.0.1.6,office365.com,A,NOERROR
2025-03-01T01:52:47Z,10.0.1.3,zoom.us,A,NOERROR
2025-03-01T01:53:21Z,10.0.1.2,api.github.com,A,NOERROR
2025-03-01T01:55:50Z,10.0.1.7,update.windows.com,A,NOERROR
2025-03-01T02:00:05Z,10.0.1.8,cdn.cloudflare.com,A,NOERROR
2025-03-01T02:04:58Z,10.0.1.7,pypi.org,A,NOERROR
2025-03-01T02:07:50Z,10.0.1.8,api.stripe.com,A,NOERROR
2025-03-01T02:08:25Z,10.0.1.13,office365.com,A,NOERROR
2025-03-01T02:12:43Z,10.0.1.3,office365.com,A,NOERROR
2025-03-01T02:14:41Z,10.0.1.11,docs.python.org,A,NOERROR
2025-03-01T02:15:47Z,10.0.1.7,zoom.us,A,NOERROR
2025-03-01T02:16:22Z,10.0.1.6,www.google.com,A,NOERROR
2025-03-01T02:16:52Z,10.0.1.2,cdn.cloudflare.com,A,NOERROR
2025-03-01T02:18:13Z,10.0.1.1,update.windows.com,A,NOERROR
2025-03-01T02:21:02Z,10.0.1.15,api.stripe.com,A,NOERROR
2025-03-01T02:23:05Z,10.0.1.5,www.google.com,A,NOERROR
2025-03-01T02:24:19Z,10.0.1.6,cdn.cloudflare.com,A,NOERROR
2025-03-01T02:28:24Z,10.0.1.15,pypi.org,A,NOERROR
2025-03-01T02:31:03Z,10.0.1.7,npmjs.org,A,NOERROR
2025-03-01T02:35:25Z,10.0.1.8,cdn.cloudflare.com,A,NOERROR
2025-03-01T02:39:40Z,10.0.1.9,icloud.com,A,NOERROR
2025-03-01T02:43:52Z,10.0.1.4,office365.com,A,NOERROR
2025-03-01T02:44:16Z,10.0.1.10,fonts.googleapis.com,A,NOERROR
2025-03-01T02:47:37Z,10.0.1.15,mail.microsoft.com,A,NOERROR
2025-03-01T02:47:48Z,10.0.1.2,api.stripe.com,A,NOERROR
2025-03-01T02:48:48Z,10.0.1.12,zoom.us,A,NOERROR
2025-03-01T02:49:46Z,10.0.1.14,api.github.com,A,NOERROR
2025-03-01T02:53:15Z,10.0.1.1,zoom.us,A,NOERROR
2025-03-01T02:53:38Z,10.0.1.9,api.github.com,A,NOERROR
2025-03-01T02:56:56Z,10.0.1.10,zoom.us,A,NOERROR
2025-03-01T02:59:38Z,10.0.1.2,mail.microsoft.com,A,NOERROR
2025-03-01T03:02:37Z,10.0.1.4,pypi.org,A,NOERROR
2025-03-01T03:03:38Z,10.0.1.2,update.windows.com,A,NOERROR
2025-03-01T03:04:31Z,10.0.1.9,update.windows.com,A,NOERROR
2025-03-01T03:05:53Z,10.0.1.9,update.windows.com,A,NOERROR
2025-03-01T03:07:58Z,10.0.1.6,zoom.us,A,NOERROR
2025-03-01T03:08:11Z,10.0.1.7,pypi.org,A,NOERROR
2025-03-01T03:08:59Z,10.0.1.15,fonts.googleapis.com,A,NOERROR
2025-03-01T03:09:45Z,10.0.1.3,zoom.us,A,NOERROR
2025-03-01T03:10:28Z,10.0.1.11,icloud.com,A,NOERROR
2025-03-01T03:13:30Z,10.0.1.6,pypi.org,A,NOERROR
2025-03-01T03:14:39Z,10.0.1.8,docs.python.org,A,NOERROR
2025-03-01T03:15:40Z,10.0.1.5,api.stripe.com,A,NOERROR
2025-03-01T03:19:41Z,10.0.1.7,pypi.org,A,NOERROR
2025-03-01T03:21:47Z,10.0.1.14,mail.microsoft.com,A,NOERROR
2025-03-01T03:24:24Z,10.0.1.15,slack.com,A,NOERROR
2025-03-01T03:26:44Z,10.0.1.10,update.windows.com,A,NOERROR
2025-03-01T03:30:19Z,10.0.1.7,cdn.cloudflare.com,A,NOERROR
2025-03-01T03:30:43Z,10.0.1.3,fonts.googleapis.com,A,NOERROR
2025-03-01T03:34:30Z,10.0.1.11,www.google.com,A,NOERROR
2025-03-01T03:36:03Z,10.0.1.2,www.google.com,A,NOERROR
2025-03-01T03:37:17Z,10.0.1.5,office365.com,A,NOERROR
2025-03-01T03:38:21Z,10.0.1.9,office365.com,A,NOERROR
2025-03-01T03:40:21Z,10.0.1.14,www.google.com,A,NOERROR
2025-03-01T03:44:32Z,10.0.1.1,icloud.com,A,NOERROR
2025-03-01T03:51:10Z,10.0.1.13,slack.com,A,NOERROR
2025-03-01T03:52:01Z,10.0.1.15,pypi.org,A,NOERROR
2025-03-01T03:52:57Z,10.0.1.8,cdn.cloudflare.com,A,NOERROR
2025-03-01T03:57:19Z,10.0.1.12,api.github.com,A,NOERROR
2025-03-01T03:57:24Z,10.0.1.8,api.stripe.com,A,NOERROR
2025-03-01T03:59:16Z,10.0.1.10,fonts.googleapis.com,A,NOERROR
2025-03-01T04:00:51Z,10.0.1.2,api.stripe.com,A,NOERROR
2025-03-01T04:02:17Z,10.0.1.3,api.stripe.com,A,NOERROR
2025-03-01T04:07:01Z,10.0.1.15,slack.com,A,NOERROR
2025-03-01T04:07:02Z,10.0.1.5,mail.microsoft.com,A,NOERROR
2025-03-01T04:07:19Z,10.0.1.14,www.google.com,A,NOERROR
2025-03-01T04:11:40Z,10.0.1.5,npmjs.org,A,NOERROR
2025-03-01T04:12:15Z,10.0.1.12,icloud.com,A,NOERROR
2025-03-01T04:13:15Z,10.0.1.15,cdn.cloudflare.com,A,NOERROR
2025-03-01T04:13:36Z,10.0.1.14,api.stripe.com,A,NOERROR
2025-03-01T04:20:23Z,10.0.1.10,mail.microsoft.com,A,NOERROR
2025-03-01T04:22:40Z,10.0.1.5,slack.com,A,NOERROR
2025-03-01T04:23:10Z,10.0.1.8,office365.com,A,NOERROR
2025-03-01T04:24:06Z,10.0.1.9,api.github.com,A,NOERROR
2025-03-01T04:25:12Z,10.0.1.4,www.google.com,A,NOERROR
2025-03-01T04:26:21Z,10.0.1.11,zoom.us,A,NOERROR
2025-03-01T04:26:46Z,10.0.1.10,npmjs.org,A,NOERROR
2025-03-01T04:32:14Z,10.0.1.6,zoom.us,A,NOERROR
2025-03-01T04:36:03Z,10.0.1.8,zoom.us,A,NOERROR
2025-03-01T04:40:44Z,10.0.1.14,www.google.com,A,NOERROR
2025-03-01T04:42:07Z,10.0.1.4,zoom.us,A,NOERROR
2025-03-01T04:42:14Z,10.0.1.8,docs.python.org,A,NOERROR
2025-03-01T04:45:48Z,10.0.1.6,api.github.com,A,NOERROR
2025-03-01T04:48:22Z,10.0.1.11,api.stripe.com,A,NOERROR
2025-03-01T04:50:29Z,10.0.1.13,office365.com,A,NOERROR
2025-03-01T04:52:58Z,10.0.1.7,cdn.cloudflare.com,A,NOERROR
2025-03-01T04:54:07Z,10.0.1.4,npmjs.org,A,NOERROR
2025-03-01T04:57:04Z,10.0.1.3,slack.com,A,NOERROR
2025-03-01T04:57:50Z,10.0.1.1,www.google.com,A,NOERROR
2025-03-01T04:58:01Z,10.0.1.6,zoom.us,A,NOERROR
2025-03-01T04:58:53Z,10.0.1.10,zoom.us,A,NOERROR
2025-03-01T05:00:39Z,10.0.1.2,docs.python.org,A,NOERROR
2025-03-01T05:03:06Z,10.0.1.7,cdn.cloudflare.com,A,NOERROR
2025-03-01T05:07:36Z,10.0.1.2,pypi.org,A,NOERROR
2025-03-01T05:11:18Z,10.0.1.14,update.windows.com,A,NOERROR
2025-03-01T05:12:34Z,10.0.1.4,office365.com,A,NOERROR
2025-03-01T05:18:04Z,10.0.1.7,update.windows.com,A,NOERROR
2025-03-01T05:20:08Z,10.0.1.3,cdn.cloudflare.com,A,NOERROR
2025-03-01T05:21:17Z,10.0.1.13,fonts.googleapis.com,A,NOERROR
2025-03-01T05:23:05Z,10.0.1.10,mail.microsoft.com,A,NOERROR
2025-03-01T05:25:16Z,10.0.1.8,docs.python.org,A,NOERROR
2025-03-01T05:26:03Z,10.0.1.12,zoom.us,A,NOERROR
2025-03-01T05:26:50Z,10.0.1.9,fonts.googleapis.com,A,NOERROR
2025-03-01T05:27:10Z,10.0.1.6,api.github.com,A,NOERROR
2025-03-01T05:32:49Z,10.0.1.11,update.windows.com,A,NOERROR
2025-03-01T05:37:02Z,10.0.1.6,docs.python.org,A,NOERROR
2025-03-01T05:39:00Z,10.0.1.9,fonts.googleapis.com,A,NOERROR
2025-03-01T05:41:14Z,10.0.1.14,docs.python.org,A,NOERROR
2025-03-01T05:41:30Z,10.0.1.1,api.stripe.com,A,NOERROR
2025-03-01T05:41:32Z,10.0.1.1,api.stripe.com,A,NOERROR
2025-03-01T05:48:52Z,10.0.1.15,cdn.cloudflare.com,A,NOERROR
2025-03-01T05:50:22Z,10.0.1.2,update.windows.com,A,NOERROR
2025-03-01T05:51:12Z,10.0.1.4,zoom.us,A,NOERROR
2025-03-01T05:53:16Z,10.0.1.3,npmjs.org,A,NOERROR
2025-03-01T05:53:51Z,10.0.1.1,fonts.googleapis.com,A,NOERROR
2025-03-01T05:55:25Z,10.0.1.13,mail.microsoft.com,A,NOERROR
2025-03-01T05:57:16Z,10.0.1.5,mail.microsoft.com,A,NOERROR
2025-03-01T05:58:13Z,10.0.1.5,slack.com,A,NOERROR
2025-03-01T06:00:58Z,10.0.1.1,docs.python.org,A,NOERROR
2025-03-01T06:03:08Z,10.0.1.9,update.windows.com,A,NOERROR
2025-03-01T06:03:29Z,10.0.1.2,icloud.com,A,NOERROR
2025-03-01T06:04:11Z,10.0.1.5,icloud.com,A,NOERROR
2025-03-01T06:12:25Z,10.0.1.3,npmjs.org,A,NOERROR
2025-03-01T06:13:11Z,10.0.1.1,icloud.com,A,NOERROR
2025-03-01T06:14:23Z,10.0.1.4,zoom.us,A,NOERROR
2025-03-01T06:15:50Z,10.0.1.6,office365.com,A,NOERROR
2025-03-01T06:18:48Z,10.0.1.12,api.github.com,A,NOERROR
2025-03-01T06:20:28Z,10.0.1.7,fonts.googleapis.com,A,NOERROR
2025-03-01T06:21:08Z,10.0.1.11,api.stripe.com,A,NOERROR
2025-03-01T06:22:38Z,10.0.1.8,mail.microsoft.com,A,NOERROR
2025-03-01T06:24:12Z,10.0.1.10,icloud.com,A,NOERROR
2025-03-01T06:26:07Z,10.0.1.14,cdn.cloudflare.com,A,NOERROR
2025-03-01T06:32:40Z,10.0.1.13,slack.com,A,NOERROR
2025-03-01T06:35:48Z,10.0.1.15,npmjs.org,A,NOERROR
2025-03-01T06:35:50Z,10.0.1.2,slack.com,A,NOERROR
2025-03-01T06:45:49Z,10.0.1.10,mail.microsoft.com,A,NOERROR
2025-03-01T06:46:18Z,10.0.1.5,docs.python.org,A,NOERROR
