timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,packets,duration_ms
2025-03-01T00:00:47Z,10.0.1.14,192.0.2.13,49958,53,UDP,7974,129202,185,6848
2025-03-01T00:01:24Z,10.0.1.13,10.0.1.14,55111,8080,TCP,12474,4738,6,12646
2025-03-01T00:01:55Z,10.0.1.3,10.0.1.2,60231,22,TCP,8471,16420,13,11941
2025-03-01T00:03:04Z,10.0.1.14,192.0.2.12,52346,443,TCP,2666,112858,70,102398
2025-03-01T00:03:41Z,10.0.1.13,192.0.2.16,59454,443,TCP,29765,163303,60,82341
2025-03-01T00:04:09Z,10.0.1.9,192.0.2.11,57355,8080,TCP,24033,22764,139,48615
2025-03-01T00:05:16Z,10.0.1.11,192.0.2.20,59351,443,TCP,48081,86749,173,92958
2025-03-01T00:06:50Z,10.0.1.7,10.0.1.6,64991,22,TCP,13088,1961,29,6604
2025-03-01T00:08:21Z,10.0.1.6,192.0.2.20,56879,443,TCP,1816,158958,76,50167
2025-03-01T00:08:36Z,10.0.1.6,192.0.2.18,56295,443,TCP,36463,35598,184,56269
2025-03-01T00:09:05Z,10.0.1.12,192.0.2.13,54511,443,TCP,44628,177478,62,81512
2025-03-01T00:10:12Z,10.0.1.5,10.0.1.4,64627,22,TCP,2471,15337,10,3334
2025-03-01T00:11:03Z,10.0.1.3,192.0.2.16,55963,443,TCP,42741,50832,123,24500
2025-03-01T00:11:46Z,10.0.1.1,192.0.2.16,62589,443,TCP,47464,199869,72,69985
2025-03-01T00:12:08Z,10.0.1.10,192.0.2.24,52601,443,TCP,40296,159622,107,61063
2025-03-01T00:12:20Z,10.0.1.1,192.0.2.20,56166,443,TCP,27171,61057,57,5406
2025-03-01T00:12:33Z,10.0.1.14,192.0.2.17,64658,443,TCP,12397,152813,134,117340
2025-03-01T00:12:48Z,10.0.1.14,10.0.1.15,61611,3389,TCP,16566,18744,12,6657
2025-03-01T00:12:49Z,10.0.1.5,192.0.2.12,57483,8080,TCP,2649,168790,71,88033
2025-03-01T00:13:19Z,10.0.1.1,192.0.2.20,51598,443,TCP,48430,55101,181,98743
2025-03-01T00:13:28Z,10.0.1.15,192.0.2.19,55657,443,TCP,40778,105161,73,28507
2025-03-01T00:13:41Z,10.0.1.11,192.0.2.23,51884,443,TCP,10049,127662,171,73345
2025-03-01T00:13:56Z,10.0.1.10,192.0.2.17,64585,80,TCP,27277,163974,153,10370
2025-03-01T00:14:26Z,10.0.1.5,192.0.2.19,58533,80,TCP,44762,180647,54,61487
2025-03-01T00:14:48Z,10.0.1.3,192.0.2.11,56170,443,TCP,40379,122796,146,65165
2025-03-01T00:15:23Z,10.0.1.10,192.0.2.14,64876,80,TCP,1804,183267,190,16978
2025-03-01T00:15:40Z,10.0.1.1,192.0.2.25,60757,80,TCP,27754,139236,191,80794
2025-03-01T00:16:03Z,10.0.1.15,10.0.1.9,63877,445,TCP,5786,19748,39,19602
2025-03-01T00:17:03Z,10.0.1.9,192.0.2.15,56667,443,TCP,16111,136272,75,102267
2025-03-01T00:17:08Z,10.0.1.2,192.0.2.18,52448,443,TCP,32954,58327,55,102902
2025-03-01T00:17:18Z,10.0.1.5,192.0.2.22,58388,443,TCP,12546,126769,98,4174
2025-03-01T00:17:26Z,10.0.1.10,192.0.2.17,63435,80,TCP,26635,179453,45,50635
2025-03-01T00:17:27Z,10.0.1.4,192.0.2.17,49153,443,TCP,34206,33616,55,49624
2025-03-01T00:18:30Z,10.0.1.6,10.0.1.8,63828,445,TCP,9494,6335,27,21383
2025-03-01T00:20:07Z,10.0.1.10,192.0.2.21,51817,80,TCP,23225,130394,36,76193
2025-03-01T00:20:16Z,10.0.1.7,192.0.2.14,57705,443,TCP,23168,91510,43,7073
2025-03-01T00:20:59Z,10.0.1.10,10.0.1.11,59633,3389,TCP,5869,7484,42,25955
2025-03-01T00:21:04Z,10.0.1.9,10.0.1.10,53158,8080,TCP,2829,3013,17,144
2025-03-01T00:21:31Z,10.0.1.11,192.0.2.24,57045,8080,TCP,25975,119072,25,67543
2025-03-01T00:21:54Z,10.0.1.8,192.0.2.20,49379,80,TCP,48723,177535,157,108807
2025-03-01T00:22:00Z,10.0.1.7,192.0.2.20,55567,80,TCP,12776,75306,121,69670
2025-03-01T00:23:59Z,10.0.1.12,192.0.2.17,62177,80,TCP,11476,93768,197,28325
2025-03-01T00:24:11Z,10.0.1.2,192.0.2.17,59636,443,TCP,23739,197641,184,116938
2025-03-01T00:24:28Z,10.0.1.10,192.0.2.13,58002,53,UDP,36084,69618,162,19373
2025-03-01T00:24:32Z,10.0.1.8,10.0.1.7,57584,445,TCP,806,8386,36,29562
2025-03-01T00:26:19Z,10.0.1.11,192.0.2.20,52133,443,TCP,10546,50441,26,70936
2025-03-01T00:26:20Z,10.0.1.13,192.0.2.12,51794,443,TCP,11805,83396,176,93082
2025-03-01T00:26:22Z,10.0.1.14,192.0.2.10,58290,80,TCP,3188,129623,18,114452
2025-03-01T00:26:29Z,10.0.1.1,192.0.2.14,59870,443,TCP,26079,87724,93,104126
2025-03-01T00:27:28Z,10.0.1.9,192.0.2.17,50334,80,TCP,44820,38198,200,113803
2025-03-01T00:27:40Z,10.0.1.11,192.0.2.24,60464,53,UDP,34539,184131,27,60334
2025-03-01T00:29:13Z,10.0.1.7,192.0.2.17,59420,443,TCP,43476,135435,167,39772
2025-03-01T00:29:52Z,10.0.1.15,10.0.1.14,60731,445,TCP,16571,14525,15,25487
2025-03-01T00:29:58Z,10.0.1.9,10.0.1.15,57090,22,TCP,14575,2099,12,6898
2025-03-01T00:30:20Z,10.0.1.3,192.0.2.24,63541,443,TCP,47420,57958,107,76951
2025-03-01T00:31:18Z,10.0.1.7,192.0.2.16,64684,443,TCP,47186,65511,84,85094
2025-03-01T00:33:55Z,10.0.1.13,192.0.2.21,50939,8080,TCP,37115,10837,120,84997
2025-03-01T00:35:10Z,10.0.1.9,192.0.2.18,49572,443,TCP,38296,134147,199,70590
2025-03-01T00:35:51Z,10.0.1.3,192.0.2.20,49501,443,TCP,33910,90125,146,118066
2025-03-01T00:36:08Z,10.0.1.4,192.0.2.13,63287,443,TCP,7230,157810,185,91630
2025-03-01T00:36:16Z,10.0.1.13,192.0.2.14,52387,80,TCP,37074,155187,175,118421
2025-03-01T00:37:08Z,10.0.1.11,10.0.1.10,55940,445,TCP,6322,4080,9,11136
2025-03-01T00:38:16Z,10.0.1.2,192.0.2.23,62747,443,TCP,13668,19572,82,39749
2025-03-01T00:38:41Z,10.0.1.5,192.0.2.12,53534,443,TCP,7142,112022,161,42538
2025-03-01T00:39:21Z,10.0.1.2,192.0.2.24,54716,443,TCP,45331,183344,38,43591
2025-03-01T00:40:01Z,10.0.1.3,192.0.2.15,59465,443,TCP,530,33208,76,3890
2025-03-01T00:40:05Z,10.0.1.14,192.0.2.23,50585,80,TCP,31947,125825,123,14475
2025-03-01T00:40:07Z,10.0.1.4,10.0.1.3,62404,8080,TCP,9429,10627,35,17157
2025-03-01T00:40:35Z,10.0.1.11,192.0.2.25,56308,443,TCP,42699,196811,46,20642
2025-03-01T00:41:20Z,10.0.1.5,192.0.2.14,52203,443,TCP,33610,58738,123,79721
2025-03-01T00:41:34Z,10.0.1.5,192.0.2.22,56016,443,TCP,17726,109411,137,17742
2025-03-01T00:42:27Z,10.0.1.4,192.0.2.18,56718,53,UDP,8209,84255,144,114067
2025-03-01T00:42:33Z,10.0.1.11,192.0.2.20,49690,53,UDP,40993,53676,196,62558
2025-03-01T00:42:45Z,10.0.1.12,10.0.1.13,51560,3389,TCP,8309,1040,22,3665
2025-03-01T00:43:07Z,10.0.1.6,192.0.2.23,50255,8080,TCP,31648,41842,75,93537
2025-03-01T00:45:15Z,10.0.1.2,192.0.2.12,55562,443,TCP,19127,63727,182,60545
2025-03-01T00:46:29Z,10.0.1.1,192.0.2.14,56118,53,UDP,27494,16331,94,82501
